trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
YG_EK_1_1,9:20:00,9:20:00,YG_EK1,0,,0,0,,
YG_EK_1_1,9:22:00,9:22:00,YG_EK2,1,,0,0,,
YG_EK_1_1,9:29:00,9:29:00,YG_EK3,2,,0,0,,
YG_EK_1_1,9:32:00,9:32:00,YG_EK4,3,,0,0,,
YG_EK_1_1,9:42:00,9:42:00,YG_EK5,4,,0,0,,
YG_EK_1_1,9:46:00,9:46:00,YG_EK6,5,,0,0,,
YG_EK_1_1,9:50:00,9:50:00,YG_EK2,6,,0,0,,
YG_EK_1_1,9:52:00,9:52:00,YG_EK1,7,,0,0,,
YG_EK_2_1,11:50:00,11:52:00,YG_EK1,0,,0,0,,
YG_EK_2_1,11:52:00,11:52:00,YG_EK2,1,,0,0,,
YG_EK_2_1,11:56:00,11:56:00,YG_EK6,2,,0,0,,
YG_EK_2_1,12:00:00,12:00:00,YG_EK5,3,,0,0,,
YG_EK_2_1,12:10:00,12:10:00,YG_EK4,4,,0,0,,
YG_EK_2_1,12:13:00,12:13:00,YG_EK3,5,,0,0,,
YG_EK_2_1,12:20:00,12:20:00,YG_EK2,6,,0,0,,
YG_EK_2_1,12:22:00,12:22:00,YG_EK1,7,,0,0,,
YG_OK_1_1,9:55:00,9:55:00,YG_OK1,0,,0,0,,
YG_OK_1_1,9:57:00,9:57:00,YG_OK2,1,,0,0,,
YG_OK_1_1,10:11:00,10:11:00,YG_OK3,2,,0,0,,
YG_OK_1_1,10:17:00,10:17:00,YG_OK4,3,,0,0,,
YG_OK_1_1,10:19:00,10:19:00,YG_OK5,4,,0,0,,
YG_OK_1_1,10:24:00,10:24:00,YG_OK2,5,,0,0,,
YG_OK_1_1,10:26:00,10:26:00,YG_OK1,6,,0,0,,
YG_OK_2_1,12:25:00,12:25:00,YG_OK1,0,,0,0,,
YG_OK_2_1,12:27:00,12:27:00,YG_OK2,1,,0,0,,
YG_OK_2_1,12:32:00,12:32:00,YG_OK5,2,,0,0,,
YG_OK_2_1,12:34:00,12:34:00,YG_OK4,3,,0,0,,
YG_OK_2_1,12:40:00,12:40:00,YG_OK3,4,,0,0,,
YG_OK_2_1,12:53:00,12:53:00,YG_OK2,5,,0,0,,
YG_OK_2_1,12:55:00,12:55:00,YG_OK1,6,,0,0,,
